ULN,ComponentCode (Core),AssessmentSeries (Core),ComponentGrade (Core),ComponentCode (Specialisms),AssessmentSeries (Specialisms),ComponentGrade (Specialisms)
9500000001,10101010,Autumn 2021,A*,,Winter2022,
9500000002,10101010,Autumn 2021,A*,10202101,,
9500000003,10101010,Autumn 2021,A*,1020210,,
9500000004,10101010,Autumn 2021,A*,102021011,,
9500000005,10101010,Autumn 2021,A*,1020ABCD,,
9500000006,10101010,Autumn 2021,A*,,,Pass
9500000007,10101010,Autumn 2021,A*,,,,
,,,,,,
9500000009,,,,,,
95000000088,10101010,Autumn 2021,A*,,,
,10101010,Autumn 2021,A*,,,
9500000010,10101010,Autumn 2021,A*,"10202101,10202101",Summer 2022,"Pass,Merit"
9500000011,10101010,Autumn 2021,A*,"10202101,10202102",Summer 2022,Pass
9500000012,10101010,Autumn 2021,A*,,Summer 2022,Pass
